Story ID,EPIC,主要角色,Backbone Activity,Story 標題,使用者故事／價值,Product Priority,Implementation Wave,命題對應,Demo Gate 1,關鍵驗收 1,關鍵驗收 2,主要相依,備註／切片策略
US-E01,EPIC E｜可信知識查詢與 RAG,長者,理解與安全回應,生活化問題理解,身為長者，我希望用生活化說法提問，也能找到適用的衛教或長照資源。,COMMITTED INNOVATION,Wave 3,進階｜知識庫建置,否,系統保留原始問題並產生檢索查詢。,查詢改寫不得改變疾病、地區、服務類型、日期及否定詞等關鍵條件。,TE-G01～G03,依 Wave 交付
US-E02,EPIC E｜可信知識查詢與 RAG,照護者,理解與安全回應,來源與適用範圍過濾,身為照護者，我希望系統依來源、地區、適用對象、日期與審查狀態過濾資料，避免提供不適用內容。,MUST SHIP,Wave 3,進階｜知識庫建置,否,可依 source_agency、region、service_type、effective_date、review_status 等欄位過濾。,needs_review、來源不明及已失效資料不得以權威答案呈現。,TE-G01～G03,依 Wave 交付
US-E03,EPIC E｜可信知識查詢與 RAG,長者／照護者,理解與安全回應,有根據的衛教回答,身為長者或照護者，我希望知道回答來自哪份可信資料。,MUST SHIP,Wave 3,進階｜知識庫建置,否,回答顯示來源名稱、發布機關或可追溯識別。,找不到足夠證據時不自行補完。,US-E01；US-E02；TE-J03,依 Wave 交付
US-E04,EPIC E｜可信知識查詢與 RAG,開發團隊,參與與持續改善,檢索品質評估,身為開發團隊，我希望量化檢索方法的改善，證明技術選擇有實際價值。,COMMITTED INNOVATION,Wave 3,進階｜知識庫建置,否,建立人工標註的查詢與相關文件測試集。,至少比較基礎檢索與最終方案。,US-E01～E03,依 Wave 交付
US-F01,EPIC F｜個人化關懷與下一步行動,長者,家屬與主動陪伴,個人化關懷候選主題生成,身為長者，我希望系統根據近期生活與已確認偏好準備合適的候選主題，供回應式或主動式互動使用。,COMMITTED INNOVATION,Wave 3,核心 C｜照護協作,否,候選主題可來自近期事件、已確認記憶、時間情境與明確偏好。,排序不得依未確認健康推測、孤獨推估或敏感標籤決定。,US-D03；US-B04,依 Wave 交付
US-F02,EPIC F｜個人化關懷與下一步行動,照護者,覆核與關懷行動,照護者候選行動建議,身為照護者，我希望系統整理可以採取的下一步，而不是替我做醫療或照護決定。,MUST SHIP,Wave 2,核心 C｜照護協作,否,建議限定為查看、確認、聯繫、活動邀請及追蹤等工作流。,不得建議改藥、停藥、做疾病診斷或自動改變正式照護計畫。,US-C02；US-B03,依 Wave 交付
US-K01,EPIC K｜日常互動陪伴需求訊號,照護者,擷取生活事件,擷取社交連結與陪伴需求事件,身為照護者，我希望系統從經同意的日常互動中擷取社交聯繫、活動參與及陪伴需求相關事件，讓我不需閱讀全部逐字稿。,MUST SHIP,Wave 3,創新｜個人化互動＋社會應用,否,擷取家人或朋友聯繫、預期聯繫未發生、活動參與、活動取消、明確孤單或想找人聊天的表達。,每筆事件顯示來源句、時間、ASR 信心、擷取信心及審查狀態。,US-A06；US-B01,依 Wave 交付
US-K02,EPIC K｜日常互動陪伴需求訊號,照護者,覆核與關懷行動,產生可解釋的陪伴需求訊號,身為照護者，我希望系統整理長者近期互動模式的變化與證據，讓我判斷是否需要進一步關心。,MUST SHIP,Wave 3,創新｜個人化互動＋社會應用,否,使用同一位長者的個人歷史基準，不與其他長者比較。,首版分析規則比較最近七天與過去二十八天的個人歷史基準；時間窗口由版本化 Policy 設定。,US-K01；TE-J05；TE-G04,依 Wave 交付
US-K03,EPIC K｜日常互動陪伴需求訊號,照護者,覆核與關懷行動,照護者覆核與關懷規劃,身為照護者，我希望查看陪伴需求訊號、確認正確性並建立後續行動，讓 AI 協助整理但不代替我決策。,MUST SHIP,Wave 3,創新｜個人化互動＋社會應用,否,可查看證據、確認需要關懷、排除訊號、修正事件、建立聯繫待辦、安排活動及設定追蹤日。,排除時可記錄裝置故障、外出、誤判或資料不足等原因。,US-K02；US-C04,依 Wave 交付
US-K04,EPIC K｜日常互動陪伴需求訊號,照護者,覆核與關懷行動,標準量表校正與人工施測,身為照護者，我希望必要時使用經審查的簡短量表確認長者主觀感受，讓日常互動訊號有額外參考依據。,COMMITTED INNOVATION,Wave 3,創新｜個人化互動＋社會應用,否,正式量表必須由長者實際回答，不得從自由對話猜測答案。,計分由固定程式執行，不由 LLM 自由計算。,TE-G04；US-K03,依 Wave 交付
US-L01,EPIC L｜互動遊戲、成就與參與,長者,參與與持續改善,語音互動知識小遊戲,身為長者，我希望透過簡單、有趣的語音問答與 AI 互動，讓日常陪伴更有趣。,COMMITTED INNOVATION,Wave 4,擴充｜參與體驗,否,長者可用語音說「我要玩遊戲」開始。,每局預設三至五題，可隨時停止。,US-A01～A05；US-L04,依 Wave 交付
US-L02,EPIC L｜互動遊戲、成就與參與,長者,參與與持續改善,個人積分與成就,身為長者，我希望完成互動或遊戲後獲得積分與成就，感受到參與及進步。,COMMITTED INNOVATION,Wave 4,擴充｜參與體驗,否,完成遊戲、互動或學習活動可獲得積分。,積分不只依答對數計算，完成參與也可獲得基本分數。,US-L01,依 Wave 交付
US-L03,EPIC L｜互動遊戲、成就與參與,長者,參與與持續改善,友善匿名排行榜,身為選擇參加團體活動的長者，我希望看到自己與團體的活動成果，增加共同參與的樂趣。,BONUS IF STABLE,Wave 4,擴充｜參與體驗,否,排行榜預設關閉，由長者或授權照護者主動加入。,只顯示暱稱或虛擬名稱。,US-L02；US-A06,依 Wave 交付
US-L04,EPIC L｜互動遊戲、成就與參與,內容管理者,參與與持續改善,題庫來源與內容審查,身為內容管理者，我希望遊戲題目具有來源、版本與適用對象，避免提供錯誤或不適合的內容。,COMMITTED INNOVATION,Wave 4,擴充｜參與體驗,否,保存題目來源、版本、語言、難度、適用對象及審查狀態。,未審查題目不得進入正式衛教遊戲。,TE-G01～G03,依 Wave 交付
US-M01,EPIC M｜回饋與持續改善,長者／照護者,參與與持續改善,回答與訊號回饋,身為長者或照護者，我希望回報回答是否有幫助或訊號是否誤判，讓系統能持續改善。,COMMITTED INNOVATION,Wave 4,品質｜持續改善,否,長者可提供簡單的有幫助／沒有幫助回饋。,照護者可標記回答錯誤、來源不適用、事件誤判或陪伴需求訊號誤判。,US-E03；US-K03；US-N07,依 Wave 交付
US-N01,EPIC N｜AI 主動式個人化陪伴與對話發起,長者,設定與同意,主動陪伴同意、時段與頻率偏好,身為長者，我希望自己決定 AI 是否能主動找我、何時可以找我及一天最多幾次，避免被打擾。,COMMITTED INNOVATION,Wave 3,創新｜AI 記憶＋個人化互動,否,主動陪伴預設須取得獨立同意，不能只沿用一般對話同意。,可設定允許時段、靜默時段、每日上限、最短間隔、允許通路與暫停期限。,US-A06；TE-PRO01,依 Wave 交付
US-N02,EPIC N｜AI 主動式個人化陪伴與對話發起,長者,家屬與主動陪伴,適當時機與不打擾判斷,身為長者，我希望 AI 只在適合的時間主動互動，活動取消、裝置離線或我正在忙時不要播放。,COMMITTED INNOVATION,Wave 3,創新｜AI 記憶＋個人化互動,否,Trigger 可來自排程、活動到期、長者要求稍後提醒、裝置進入、照護者安排及核准的關懷事件。,Eligibility Gate 以確定性程式檢查同意、靜默時段、每日上限、cooldown、裝置、Session、拒絕紀錄與來源事件狀態。,US-N01；TE-PRO01,依 Wave 交付
US-N03,EPIC N｜AI 主動式個人化陪伴與對話發起,長者,家屬與主動陪伴,個人化話題排序與動態開場,身為長者，我希望 AI 的主動開場有生活脈絡、簡短自然，而且只引用我已確認的資訊。,COMMITTED INNOVATION,Wave 3,創新｜AI 記憶＋個人化互動,否,候選話題可來自近期已覆核事件、已確認記憶、時間情境、未完成追蹤與照護者核准活動。,排序保存分數、reason_codes、來源 event_id／memory_id、Policy 版本與重複抑制結果。,US-N02；US-D03；US-B04,依 Wave 交付
US-N04,EPIC N｜AI 主動式個人化陪伴與對話發起,長者,家屬與主動陪伴,拒絕、換題、暫停與稍後再聊,身為長者，我希望能隨時說不想聊、換一個、停止或晚點再說，系統不會一直追問。,COMMITTED INNOVATION,Wave 3,創新｜AI 記憶＋個人化互動,否,國語、臺語與英文路徑均需辨識拒絕、換題、停止及稍後再聊的核心指令；其他語言依 Wave 4 測試結果開放。,拒絕後立即停止追問並更新近期推薦限制，不因拒絕產生負面診斷。,US-N03；TE-VO01,依 Wave 交付
US-N05,EPIC N｜AI 主動式個人化陪伴與對話發起,長者,家屬與主動陪伴,跨日追蹤與提醒,身為長者，我希望 AI 能在我要求的時間提醒，或在已記錄的活動後延續關心，不必每天重新解釋。,COMMITTED INNOVATION,Wave 3,創新｜AI 記憶＋個人化互動,否,follow_up_plan 支援 scheduled、completed、postponed、cancelled 與 expired 狀態。,同一來源事件不得重複建立相同追蹤，需有 idempotency_key 與 expires_at。,US-N04；TE-PRO01,依 Wave 交付
US-N06,EPIC N｜AI 主動式個人化陪伴與對話發起,照護者,覆核與關懷行動,照護者可追溯、核准與後續行動,身為照護者，我希望知道 AI 為何主動互動、使用哪些資料，以及是否需要建立待辦或通知家屬。,COMMITTED INNOVATION,Wave 3,創新｜AI 記憶＋個人化互動,否,後台可查看 Trigger、Eligibility、Topic、Context、來源事件、已確認記憶、模型、Policy、安全結果與 trace_id。,涉及陪伴需求變化、家庭衝突、健康、財務或創傷的敏感話題，主動播放前必須依 Policy 要求人工核准或完全禁止。,US-N03；US-C04,依 Wave 交付
US-N07,EPIC N｜AI 主動式個人化陪伴與對話發起,長者／照護者,家屬與主動陪伴,主動互動回饋與個人化改善,身為長者或照護者，我希望回饋話題是否合適與時間是否適合，讓未來互動更貼近需求。,COMMITTED INNOVATION,Wave 3,創新｜AI 記憶＋個人化互動,否,支援有幫助、沒幫助、不要再聊、時間不適合、內容重複與人工誤判回饋。,回饋進入審查與統計流程，不得直接改動正式知識、醫療規則或模型。,US-N03；US-N06,依 Wave 交付






























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































